split,filename,classe,pixel_mean,pixel_std,lum_interieur_masque,lum_exterieur_masque,surface_masque,variance_laplacien
train,COVID-1.png,COVID,42.2313,63.8117,144.7131,10.9031,0.234125,1779.5722
train,COVID-1000.png,COVID,42.3115,63.1703,139.1298,10.8428,0.245299,1697.4233
train,COVID-1001.png,COVID,29.9235,52.1309,139.1083,10.9089,0.14832,1661.2817
train,COVID-1003.png,COVID,51.7049,70.149,139.5053,10.8849,0.317368,2349.8774
train,COVID-1004.png,COVID,27.52,48.7219,137.8372,10.9414,0.130647,1228.5824
train,COVID-1005.png,COVID,61.8306,75.085,139.6905,10.7184,0.396304,2775.8172
train,COVID-1006.png,COVID,45.1489,66.1891,145.4016,10.8994,0.254639,2431.2159
train,COVID-1007.png,COVID,39.1698,60.8741,142.0087,10.9163,0.215523,1836.6418
train,COVID-1008.png,COVID,59.3838,71.5802,139.6896,10.823,0.37683,2364.9984
train,COVID-101.png,COVID,43.9131,66.0834,142.3837,10.9156,0.250993,2219.7611
train,COVID-1010.png,COVID,38.7128,61.0467,144.7392,10.9022,0.207794,1648.9222
train,COVID-1011.png,COVID,57.3164,72.4069,138.4091,10.8532,0.364258,1945.5867
train,COVID-1012.png,COVID,45.7547,67.3604,144.8284,10.8503,0.260523,2088.3444
train,COVID-1014.png,COVID,46.3386,67.1333,137.2761,10.843,0.280746,1783.5821
train,COVID-1015.png,COVID,45.2826,64.577,143.2182,10.8733,0.259997,1716.9852
train,COVID-1017.png,COVID,68.3133,76.0321,136.213,10.7547,0.458787,1818.2294
train,COVID-1019.png,COVID,44.7615,65.1655,140.7984,10.8838,0.260769,1845.2562
train,COVID-102.png,COVID,42.0298,62.2676,137.3425,10.863,0.246418,1450.6991
train,COVID-1020.png,COVID,57.6491,73.933,141.5723,10.8202,0.35815,2789.1113
train,COVID-1021.png,COVID,34.5353,57.7755,140.0862,10.9025,0.18294,1565.1831
train,COVID-1022.png,COVID,37.8042,59.5494,142.4552,10.9098,0.20445,1611.2416
train,COVID-1023.png,COVID,50.8033,68.9554,141.8041,10.8388,0.305153,2518.4114
train,COVID-1024.png,COVID,33.9917,56.7304,138.3435,10.9012,0.181184,1530.9897
train,COVID-1025.png,COVID,37.6578,59.6385,141.3709,10.9054,0.205054,1707.3631
train,COVID-1026.png,COVID,43.8903,64.6108,142.7008,10.9029,0.250288,2019.6109
train,COVID-1027.png,COVID,40.4572,62.7543,141.7071,10.8528,0.226239,1814.9503
train,COVID-1028.png,COVID,40.5905,62.7802,139.9563,10.8915,0.230109,1810.2027
train,COVID-1029.png,COVID,49.3709,69.0834,144.0229,10.8807,0.289091,2201.2645
train,COVID-1032.png,COVID,43.6774,64.2403,138.2584,10.8627,0.257581,1722.3545
train,COVID-1034.png,COVID,48.1173,67.543,141.5028,10.9107,0.284907,1888.8345
train,COVID-1035.png,COVID,46.1951,66.2847,142.331,10.8641,0.268744,1591.817
train,COVID-1036.png,COVID,36.6867,58.8129,138.9348,10.8977,0.201418,1579.5914
train,COVID-1037.png,COVID,31.3384,53.6135,141.1751,10.9135,0.156799,1673.4592
train,COVID-1038.png,COVID,36.9282,59.9026,144.2266,10.9259,0.195065,1628.633
train,COVID-1039.png,COVID,42.6429,64.6419,141.7968,10.8884,0.24257,2066.1415
train,COVID-104.png,COVID,51.4941,70.049,141.8481,10.816,0.310444,2405.7101
train,COVID-1041.png,COVID,38.2895,59.8773,137.7331,10.8712,0.216127,1579.8152
train,COVID-1042.png,COVID,38.8856,60.7737,142.57,10.8843,0.212637,2002.2929
train,COVID-1043.png,COVID,43.9746,64.11,137.9495,10.8551,0.26059,2112.5677
train,COVID-1045.png,COVID,49.4749,68.7029,140.7023,10.9173,0.297088,1968.8024
train,COVID-1046.png,COVID,46.9593,65.4486,133.7386,10.8565,0.2938,1617.7329
train,COVID-1047.png,COVID,40.2977,62.5113,141.9998,10.855,0.224505,1860.9424
train,COVID-1048.png,COVID,49.7038,68.5755,141.3559,10.8836,0.297536,2020.807
train,COVID-1049.png,COVID,52.8989,69.3997,140.9246,10.8123,0.323464,1556.7842
train,COVID-105.png,COVID,60.2372,75.2085,140.9587,10.766,0.379985,2757.2194
train,COVID-1050.png,COVID,45.6314,66.4134,141.5324,10.8904,0.265925,1995.7123
train,COVID-1051.png,COVID,38.9247,60.3825,140.615,10.8832,0.21615,1433.8126
train,COVID-1052.png,COVID,47.6523,68.704,144.9848,10.8577,0.274326,2187.8116
train,COVID-1053.png,COVID,49.0362,69.1018,138.5084,10.8568,0.299091,2320.5333
train,COVID-1054.png,COVID,60.067,73.434,138.1128,10.8419,0.386774,2173.9412
train,COVID-1055.png,COVID,35.1889,57.2707,141.0071,10.9031,0.186665,1743.5364
train,COVID-1056.png,COVID,46.217,66.9143,138.4211,10.8519,0.277223,2020.1919
train,COVID-1058.png,COVID,39.2191,60.5045,136.6313,10.8951,0.225266,1594.9606
train,COVID-1059.png,COVID,37.6846,60.494,138.266,10.8977,0.210311,2127.5818
train,COVID-106.png,COVID,48.0169,67.7904,140.0577,10.8751,0.287514,2076.958
train,COVID-1060.png,COVID,40.9291,63.0698,140.2971,10.8777,0.232201,2177.713
train,COVID-1061.png,COVID,43.2819,65.0781,135.9746,10.8792,0.259024,1858.1918
train,COVID-1062.png,COVID,43.4651,64.061,134.3432,10.8429,0.264147,1741.9896
