filename,classe,lum_interieur_masque,lum_exterieur_masque,surface_masque,variance_laplacien
COVID-1.png,COVID,144.7131,10.9031,0.234125,1779.5722
COVID-1000.png,COVID,139.1298,10.8428,0.245299,1697.4233
COVID-1001.png,COVID,139.1083,10.9089,0.14832,1661.2817
COVID-1003.png,COVID,139.5053,10.8849,0.317368,2349.8774
COVID-1004.png,COVID,137.8372,10.9414,0.130647,1228.5824
COVID-1005.png,COVID,139.6905,10.7184,0.396304,2775.8172
COVID-1006.png,COVID,145.4016,10.8994,0.254639,2431.2159
COVID-1007.png,COVID,142.0087,10.9163,0.215523,1836.6418
COVID-1008.png,COVID,139.6896,10.823,0.37683,2364.9984
COVID-101.png,COVID,142.3837,10.9156,0.250993,2219.7611
COVID-1010.png,COVID,144.7392,10.9022,0.207794,1648.9222
COVID-1011.png,COVID,138.4091,10.8532,0.364258,1945.5867
COVID-1012.png,COVID,144.8284,10.8503,0.260523,2088.3444
COVID-1014.png,COVID,137.2761,10.843,0.280746,1783.5821
COVID-1015.png,COVID,143.2182,10.8733,0.259997,1716.9852
COVID-1017.png,COVID,136.213,10.7547,0.458787,1818.2294
COVID-1019.png,COVID,140.7984,10.8838,0.260769,1845.2562
COVID-102.png,COVID,137.3425,10.863,0.246418,1450.6991
COVID-1020.png,COVID,141.5723,10.8202,0.35815,2789.1113
COVID-1021.png,COVID,140.0862,10.9025,0.18294,1565.1831
COVID-1022.png,COVID,142.4552,10.9098,0.20445,1611.2416
COVID-1023.png,COVID,141.8041,10.8388,0.305153,2518.4114
COVID-1024.png,COVID,138.3435,10.9012,0.181184,1530.9897
COVID-1025.png,COVID,141.3709,10.9054,0.205054,1707.3631
COVID-1026.png,COVID,142.7008,10.9029,0.250288,2019.6109
COVID-1027.png,COVID,141.7071,10.8528,0.226239,1814.9503
COVID-1028.png,COVID,139.9563,10.8915,0.230109,1810.2027
COVID-1029.png,COVID,144.0229,10.8807,0.289091,2201.2645
COVID-1032.png,COVID,138.2584,10.8627,0.257581,1722.3545
COVID-1034.png,COVID,141.5028,10.9107,0.284907,1888.8345
COVID-1035.png,COVID,142.331,10.8641,0.268744,1591.817
COVID-1036.png,COVID,138.9348,10.8977,0.201418,1579.5914
COVID-1037.png,COVID,141.1751,10.9135,0.156799,1673.4592
COVID-1038.png,COVID,144.2266,10.9259,0.195065,1628.633
COVID-1039.png,COVID,141.7968,10.8884,0.24257,2066.1415
COVID-104.png,COVID,141.8481,10.816,0.310444,2405.7101
COVID-1041.png,COVID,137.7331,10.8712,0.216127,1579.8152
COVID-1042.png,COVID,142.57,10.8843,0.212637,2002.2929
COVID-1043.png,COVID,137.9495,10.8551,0.26059,2112.5677
COVID-1045.png,COVID,140.7023,10.9173,0.297088,1968.8024
COVID-1046.png,COVID,133.7386,10.8565,0.2938,1617.7329
COVID-1047.png,COVID,141.9998,10.855,0.224505,1860.9424
COVID-1048.png,COVID,141.3559,10.8836,0.297536,2020.807
COVID-1049.png,COVID,140.9246,10.8123,0.323464,1556.7842
COVID-105.png,COVID,140.9587,10.766,0.379985,2757.2194
COVID-1050.png,COVID,141.5324,10.8904,0.265925,1995.7123
COVID-1051.png,COVID,140.615,10.8832,0.21615,1433.8126
COVID-1052.png,COVID,144.9848,10.8577,0.274326,2187.8116
COVID-1053.png,COVID,138.5084,10.8568,0.299091,2320.5333
COVID-1054.png,COVID,138.1128,10.8419,0.386774,2173.9412
COVID-1055.png,COVID,141.0071,10.9031,0.186665,1743.5364
COVID-1056.png,COVID,138.4211,10.8519,0.277223,2020.1919
COVID-1058.png,COVID,136.6313,10.8951,0.225266,1594.9606
COVID-1059.png,COVID,138.266,10.8977,0.210311,2127.5818
COVID-106.png,COVID,140.0577,10.8751,0.287514,2076.958
COVID-1060.png,COVID,140.2971,10.8777,0.232201,2177.713
COVID-1061.png,COVID,135.9746,10.8792,0.259024,1858.1918
COVID-1062.png,COVID,134.3432,10.8429,0.264147,1741.9896
COVID-1063.png,COVID,136.6811,10.9035,0.224606,2061.5339
COVID-1064.png,COVID,140.0674,10.9148,0.18794,1708.8483
COVID-1065.png,COVID,140.4013,10.857,0.228342,1978.5653
COVID-1066.png,COVID,141.4648,10.6836,0.431158,2343.3107
COVID-1068.png,COVID,139.5399,10.8612,0.245803,2131.1426
COVID-1069.png,COVID,141.674,10.8109,0.342882,2291.2579
COVID-107.png,COVID,136.1178,10.8642,0.295511,1652.7075
COVID-1070.png,COVID,138.6039,10.8752,0.234729,1924.6459
COVID-1071.png,COVID,142.2291,10.868,0.273643,2417.1534
COVID-1072.png,COVID,141.0047,10.7771,0.433161,2295.5591
COVID-1073.png,COVID,141.8849,10.9259,0.165502,1748.5151
COVID-1074.png,COVID,135.7773,10.8763,0.241563,1970.5355
COVID-1075.png,COVID,144.0576,10.9023,0.17992,1668.8434
COVID-1076.png,COVID,138.4873,10.6986,0.524278,2875.1261
COVID-1077.png,COVID,141.9105,10.9168,0.219986,2037.6643
COVID-1079.png,COVID,141.4888,10.7975,0.37919,2438.4823
COVID-108.png,COVID,140.3847,10.9247,0.167906,1613.8621
COVID-1082.png,COVID,139.8217,10.7209,0.403049,3002.7335
COVID-1083.png,COVID,141.8554,10.8323,0.24568,1890.7104
COVID-1084.png,COVID,140.5925,10.7744,0.402009,2494.2605
COVID-1085.png,COVID,143.5018,10.7654,0.367669,2627.1442
COVID-1088.png,COVID,145.1909,10.8127,0.322804,2525.2526
COVID-1089.png,COVID,140.2668,10.8618,0.229886,2120.3413
COVID-1090.png,COVID,141.0958,10.8814,0.241094,1960.6611
COVID-1091.png,COVID,141.5724,10.8391,0.338833,1766.6903
COVID-1092.png,COVID,141.7307,10.8497,0.187817,1655.006
COVID-1093.png,COVID,139.8084,10.7693,0.415689,2230.9346
COVID-1095.png,COVID,137.8843,10.8907,0.169428,1379.8541
COVID-1097.png,COVID,140.6206,10.8528,0.269729,2154.8246
COVID-1098.png,COVID,138.0962,10.8838,0.220635,1641.3617
COVID-11.png,COVID,134.2045,10.7817,0.378385,2427.9208
COVID-110.png,COVID,138.5161,10.821,0.293319,2063.9513
COVID-1100.png,COVID,138.3772,10.8254,0.359314,2429.9897
COVID-1101.png,COVID,142.0568,10.8581,0.227044,1691.0942
COVID-1102.png,COVID,138.9934,10.7948,0.359146,2324.2594
COVID-1103.png,COVID,135.9247,10.8475,0.310578,2185.2648
COVID-1104.png,COVID,142.4886,10.9301,0.140938,1540.9093
COVID-1106.png,COVID,139.5727,10.8613,0.217716,1880.5987
COVID-1108.png,COVID,142.0984,10.8772,0.355891,2250.6351
COVID-1109.png,COVID,137.1956,10.8438,0.282916,2126.6679
COVID-1110.png,COVID,142.3372,10.8843,0.208331,2013.6847
COVID-1112.png,COVID,139.5728,10.797,0.341752,2793.4926
COVID-1114.png,COVID,139.0286,10.8178,0.32475,1954.8329
COVID-1115.png,COVID,134.3837,10.8634,0.336618,1725.1689
COVID-1116.png,COVID,141.5351,10.8609,0.226642,1996.3802
COVID-1117.png,COVID,139.7775,10.8848,0.222056,2212.9492
COVID-1119.png,COVID,142.5222,10.8974,0.203868,1841.5411
COVID-112.png,COVID,141.2728,10.8152,0.356025,2337.0375
COVID-1121.png,COVID,137.8982,10.8045,0.335734,2060.0141
COVID-1122.png,COVID,143.0959,10.9363,0.163712,1692.4936
COVID-1124.png,COVID,139.9401,10.841,0.393732,2596.2765
COVID-1125.png,COVID,142.6465,10.8366,0.267905,1906.2041
COVID-1127.png,COVID,135.4049,10.7193,0.418015,3293.5267
COVID-1128.png,COVID,144.3405,10.8298,0.250445,1946.7868
COVID-1129.png,COVID,140.8756,10.9668,0.137795,1442.5595
COVID-113.png,COVID,144.0035,10.9423,0.138846,1446.2038
COVID-1130.png,COVID,137.6598,10.8428,0.325421,2370.3425
COVID-1131.png,COVID,140.2125,10.7214,0.3957,2802.8961
COVID-1132.png,COVID,135.321,10.9372,0.14728,1440.1847
COVID-1133.png,COVID,139.2676,10.8228,0.396081,2811.992
COVID-1135.png,COVID,142.5534,10.8049,0.337927,2542.6225
COVID-1136.png,COVID,135.7154,10.7751,0.40202,2921.2958
COVID-1139.png,COVID,137.1173,10.7169,0.384146,3205.333
COVID-114.png,COVID,142.7838,10.9506,0.148622,1381.1645
COVID-1140.png,COVID,140.2245,10.8717,0.217391,2299.837
COVID-1142.png,COVID,139.4497,10.8671,0.277603,2493.812
COVID-1143.png,COVID,138.2615,10.9258,0.175177,1779.7782
COVID-1144.png,COVID,142.0829,10.7745,0.348452,2446.5607
COVID-1147.png,COVID,135.531,10.7868,0.3188,1903.9562
COVID-1148.png,COVID,133.3059,10.8147,0.348117,1495.7342
COVID-1149.png,COVID,139.1645,10.8394,0.307357,2110.7414
COVID-115.png,COVID,141.4598,10.912,0.146385,2529.7172
COVID-1150.png,COVID,138.1397,10.8563,0.378743,1908.8239
COVID-1153.png,COVID,137.7623,10.8755,0.28371,1704.2088
COVID-1154.png,COVID,139.1143,10.8462,0.279997,2028.0715
COVID-1155.png,COVID,140.7015,10.8767,0.245926,1833.7656
COVID-1156.png,COVID,136.415,10.7662,0.451964,1670.586
COVID-1157.png,COVID,137.1357,10.8531,0.273062,2157.6989
COVID-1158.png,COVID,142.9652,10.8863,0.218577,1648.1274
COVID-1159.png,COVID,138.7599,10.8519,0.342356,2273.596
COVID-116.png,COVID,140.492,10.9875,0.122213,1390.291
COVID-1160.png,COVID,141.0083,10.8578,0.31107,2947.9945
COVID-1161.png,COVID,140.4036,10.8909,0.191676,1720.6775
COVID-1163.png,COVID,140.306,10.8577,0.296059,2291.1229
COVID-1164.png,COVID,139.5425,10.8986,0.27937,2499.8926
COVID-1165.png,COVID,143.3828,10.9202,0.221866,1778.924
COVID-1166.png,COVID,138.6266,10.8414,0.251608,2034.1536
COVID-1168.png,COVID,144.8053,10.8771,0.238621,2049.4513
COVID-1169.png,COVID,140.7698,10.831,0.332144,2406.0411
COVID-117.png,COVID,138.4239,10.8113,0.339616,2256.444
COVID-1171.png,COVID,136.2282,10.8728,0.259091,1807.4916
COVID-1172.png,COVID,141.2031,10.9445,0.138041,1498.9979
COVID-1173.png,COVID,136.3551,10.679,0.403709,2804.5129
COVID-1174.png,COVID,142.6797,10.9072,0.178398,1710.882
COVID-1175.png,COVID,143.3112,10.9348,0.182694,1730.6716
COVID-1177.png,COVID,140.0225,10.8923,0.216206,1964.902
COVID-1178.png,COVID,141.7407,10.8463,0.204506,1896.9337
COVID-1181.png,COVID,137.8269,10.9103,0.191553,1537.9935
COVID-1182.png,COVID,141.1674,10.9416,0.203174,1827.7618
COVID-1183.png,COVID,134.0749,10.8474,0.30399,2030.0313
COVID-1184.png,COVID,142.7195,10.9462,0.115469,1320.3379
COVID-1185.png,COVID,139.923,10.8916,0.217861,2151.362
COVID-1186.png,COVID,139.2161,10.7662,0.42183,2772.3313
COVID-1189.png,COVID,139.2921,10.7391,0.459212,2723.2425
COVID-119.png,COVID,139.1232,10.8713,0.191967,1728.9726
COVID-1193.png,COVID,141.4628,10.9405,0.121967,1519.8495
COVID-1195.png,COVID,141.8969,10.8239,0.356741,2579.7309
COVID-1196.png,COVID,143.1279,10.9247,0.227391,1752.9288
COVID-1198.png,COVID,139.4003,10.9258,0.179103,1580.0429
COVID-1199.png,COVID,143.4331,10.8607,0.242805,1917.6828
