modele,class_weight,hyperparametres,accuracy,f1_macro,f1_covid,f1_normal,f1_lung_opacity,f1_viral_pneumonia
"Regression logistique (sans ponderation, OneVsRest)",non,"max_iter=1000, solver=lbfgs (defaut)","0,60","0,38","0,00","0,73","0,56","0,21"
"Regression logistique (balanced, OneVsRest)",balanced,"max_iter=1000, solver=lbfgs (defaut)","0,52","0,44","0,17","0,63","0,55","0,38"
"Regression logistique (GridSearch best, OneVsRest)",balanced,"C=0.1, penalty=l2, solver=liblinear, max_iter=1000","0,52","0,43","0,17","0,63","0,55","0,38"
KNN (baseline),non applicable (KNN),"n_neighbors=5, weights=uniform, metric=minkowski","0,55","0,44","0,23","0,68","0,50","0,33"
KNN (GridSearch best),non applicable (KNN),"n_neighbors=14, weights=uniform, metric=chebyshev","0,60","0,46","0,18","0,73","0,54","0,39"
"KNN v2 (RandomOverSampler, baseline)",RandomOverSampler sur train,"n_neighbors=5, weights=uniform, metric=minkowski","0,43","0,40","0,26","0,54","0,43","0,36"
"KNN v2 (RandomOverSampler, GridSearch best)",RandomOverSampler sur train,"n_neighbors=4, weights=distance, metric=minkowski","0,46","0,41","0,24","0,59","0,45","0,37"
SVM (GridSearch best),non,"C=10, gamma=0.1, kernel=rbf","0,63","0,61","0,25","0,72","0,57","0,88"
SVM (GridSearch best),oui,"C=10, gamma=0.1, kernel=rbf","0,63","0,62","0,28","0,74","0,58","0,89"
"Random Forest (GridSearch best, balanced)",balanced,"n_estimators=200, max_depth=20, max_features=sqrt, min_samples_leaf=4, min_samples_split=15","0,57","0,49","0,26","0,70","0,54","0,46"
"Random Forest (sans ponderation, validation)",non,"n_estimators=200, max_depth=20, min_samples_leaf=4, min_samples_split=15 (sans GridSearch)","0,61","0,45","0,12","0,74","0,56","0,39"
"XGBoost (baseline, sans ponderation)",non,"n_estimators=100, max_depth=6, learning_rate=0.3 (defauts XGBoost)","0,60","0,47","0,18","0,73","0,54","0,43"
"XGBoost (GridSearch best, balanced)",oui,"n_estimators=400, max_depth=4, learning_rate=0.05, subsample=0.8","0,54","0,47","0,28","0,67","0,53","0,41"
CNN 4 couches (L2+W),oui,NA,"0,91","0,90","0,84","0,93","0,85","1,00"
CNN 4 couches (L2),non,NA,"0,91","0,91","0,84","0,93","0,86","1,00"
CNN 4 couches,non,NA,"0,92","0,92","0,86","0,94","0,89","0,99"
CNN 3 couches (L2+W),oui,NA,"0,90","0,91","0,83","0,93","0,87","0,99"
CNN 3 couches (L2),non,NA,"0,90","0,91","0,84","0,93","0,86","1,00"
CNN 3 couches,non,NA,"0,91","0,91","0,85","0,94","0,86","0,99"
CNN 2 couches,non,NA,"0,88","0,86","0,76","0,91","0,85","0,92"
inception V3,oui,NA,"0,89","0,89","0,80","0,91","0,86","0,99"
VGG16,oui,NA,"0,91","0,91","0,84","0,93","0,88","0,99"
"CNN 5 couches",non,"5 couches, 512x512","0,91","0,92","0,86","0,93","0,88","0,99"
"CNN 6 couches",non,"1024x1024","0,90","0,91","0,83","0,93","0,87","1,00"
"CNN 4 couches (tuned)",non,"256x256 tuned","0,89","0,90","0,84","0,92","0,87","0,96"
"CNN 1 couche",non,"1 couche, 32x32","0,75","0,68","0,18","0,82","0,74","0,97"
