modele,f1_macro,accuracy,overfitting
CNN 5 couches,0.92,0.91,oui (gap F1 train-val +0.08)
CNN 4 couches,0.92,0.92,léger (gap F1 train-val +0.05)
DenseNet,0.918,,léger (gap F1 train-val +0.05)
CNN 3 couches (L2+W),0.91,0.9,non (gap F1 train-val +0.01)
VGG16,0.91,0.91,non (gap F1 train-val -0.05)
CNN 6 couches,0.91,0.9,léger (gap F1 train-val +0.08)
CNN 3 couches (L2),0.91,0.9,non (gap F1 train-val +0.01)
CNN 4 couches (L2),0.91,0.91,léger (gap F1 train-val +0.03)
CNN 3 couches,0.91,0.91,non (gap F1 train-val +0.02)
CNN 4 couches (L2+W),0.9,0.91,léger (gap F1 train-val +0.07)
CNN 4 couches (tuned),0.9,0.89,léger (gap F1 train-val +0.06)
inception V3,0.89,0.89,non (gap F1 train-val -0.03)
ResNet101V2 (balanced),0.877,,non disponible
ResNet50 (unbalanced),0.876,,non disponible
ResNet50 (balanced),0.875,,non disponible
ResNet101V2 (unbalanced),0.873,,non disponible
CNN 2 couches,0.86,0.88,non (gap F1 train-val -0.02)
CovidNet,0.84,,non disponible
EfficientNet,0.82,,non (gap F1 train-val +0.02)
CNN v1 (from scratch),0.79,,non disponible
CNN 1 couche,0.68,0.75,non (gap F1 train-val -0.05)
SVM (GridSearch best),0.61,0.57,non disponible
SVM (GridSearch best),0.59,0.66,non disponible
"Random Forest (GridSearch best, balanced)",0.49,0.57,oui (gap F1 train-val +0.26)
"XGBoost (baseline, sans ponderation)",0.47,0.6,oui (gap F1 train-val +0.22)
"XGBoost (GridSearch best, balanced)",0.47,0.54,léger (gap F1 train-val +0.04)
KNN (GridSearch best),0.46,0.6,léger (gap F1 train-val +0.07)
"Random Forest (sans ponderation, validation)",0.45,0.61,oui (gap F1 train-val +0.18)
KNN (baseline),0.44,0.55,oui (gap F1 train-val +0.17)
"Regression logistique (balanced, OneVsRest)",0.44,0.52,non (gap F1 train-val +0.00)
"Regression logistique (GridSearch best, OneVsRest)",0.43,0.52,non (gap F1 train-val +0.01)
"KNN v2 (RandomOverSampler, GridSearch best)",0.41,0.46,oui (gap F1 train-val +0.64)
"KNN v2 (RandomOverSampler, baseline)",0.4,0.43,oui (gap F1 train-val +0.42)
"Regression logistique (sans ponderation, OneVsRest)",0.38,0.6,non (gap F1 train-val +0.02)
DummyClassifier (stratified),0.25,0.35,non applicable (aucun apprentissage)
DummyClassifier (most_frequent),0.16,0.49,non applicable (aucun apprentissage)
